GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Messages.new Map.Entry() {...},5,24,0,2,1,6,1,4,1,3
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,AppointmentBookServlet,67,92,6,6,23,28,8,7,3,6
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Project4,36,141,2,16,18,44,4,9,2,2
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,AppointmentBookRestClient,0,104,0,2,0,21,0,8,0,7
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Messages,5,123,0,6,2,21,2,10,2,7
