GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Messages.new Map.Entry() {...},5,24,0,2,1,6,1,4,1,3
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,AppointmentBookServlet,153,0,10,0,49,0,14,0,9,0
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,AppointmentBookRestClient.AppointmentBookRestException,8,0,0,0,3,0,1,0,1,0
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Project4,36,141,2,16,18,44,4,9,2,2
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,AppointmentBookRestClient,6,94,1,1,1,19,1,7,0,7
Appointment Book Web/REST Project,edu.pdx.cs410J.apptbookweb,Messages,7,121,1,5,3,20,3,9,2,7
